YEAR,DISTRICT,BOROUGH,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
1990,101,Manhattan,1815.9,0,0,0,0,0,0
1991,101,Manhattan,8751.7,0,0,0,0,0,0
1992,101,Manhattan,8319.5,0,0,0,0,0,0
1993,101,Manhattan,7599.1,381.5,219,0,0,0,0
1994,101,Manhattan,7844.5,1405.3,494.1,0,0,0,9.9
1995,101,Manhattan,7698.6,1277.1,502.7,0,0,0,9.4
1996,101,Manhattan,7822.5,1379.5,489.7,0,0,0,6.6
1997,101,Manhattan,7591.4,863.7,569.3,0,0,0,10
1998,101,Manhattan,8132.4,246.1,808.9,0,0,0,11.4
1999,101,Manhattan,9168.9,0,978.4,0,0,0,13.6
2000,101,Manhattan,10588.7,38.5,1205.4,0,0,0,15.5
2001,101,Manhattan,11088.9,19.7,1227.5,0,0,0,18.6
2002,101,Manhattan,12529.6,15.8,657.8,0,0,0,6
2003,101,Manhattan,14536.4,0,0,0,0,0,10.6
2004,101,Manhattan,14435.7,3007,1024.3,0,0,0,12
2005,101,Manhattan,14394.7,4505.8,1644.2,0,0,0,6
2006,101,Manhattan,13699.6,4342.7,1678.5,0,0,0,6
2007,101,Manhattan,13602.7,4541.6,1835.1,0,0,0,8
2008,101,Manhattan,13049.8,4831.4,2017.9,0,0,0,10
2009,101,Manhattan,13451.8,4809.7,2261.3,0,0,0,10
2010,101,Manhattan,13993.5,4640.5,2306.4,0,0,0,12
2011,101,Manhattan,14657,4553.2,2351.6,0,0,0,0
2012,101,Manhattan,15018.9,4031.8,2286.5,0,0,0,12
2013,101,Manhattan,15349.8,4029.5,2344.1,0,110.6,0,14
2014,101,Manhattan,15640.1,4217.3,2412.8,34,358.5,0,18
2015,101,Manhattan,15670,4318,2627.9,146.4,0,0,22
2016,101,Manhattan,15792,4508.8,2687.6,169.5,0,0,20
2017,101,Manhattan,16273,4384.5,2758.4,192.8,0,0,16
2018,101,Manhattan,16485.5,4702.6,2828.8,173.8,0,0,18
2019,101,Manhattan,16383.7,4974.6,3012.9,267.9,0,0,36.1
2020,101,Manhattan,14680.6,4191,2974.8,71.5,0,0,40.7
2021,101,Manhattan,15777.6,4718,2940.7,0,0,0,27.3
2022,101,Manhattan,16265.7,4390.3,2774.5,0,0,0,32.8
2023,101,Manhattan,12178.6,3153.8,2092.8,0,0,0,25.2
1990,102,Manhattan,7447.3,0,0,0,0,0,0
1991,102,Manhattan,34811.2,0,0,0,0,0,0
